                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0876,                 1.9749,                 1.5552,                0.39457,                 0.4697,                0.34406,                0.16606,                  1.147,                 2.5459,                 1.6298,              0.0069662,              0.0069662,              0.0069662
                     36,                 1.0689,                 1.9381,                 1.4923,                0.45894,                0.36061,                0.36616,                0.18991,                 1.1339,                  2.578,                 1.6238,              0.0069514,              0.0069514,              0.0069514
                     37,                 1.0694,                 1.8354,                 1.4628,                0.53259,                0.53939,                0.51639,                0.27125,                 1.0921,                 2.0296,                  1.557,              0.0069366,              0.0069366,              0.0069366
                     38,                 1.0887,                 1.8443,                 1.5036,                0.65381,                0.50303,                0.54649,                  0.289,                 1.1102,                  2.011,                  1.542,              0.0069218,              0.0069218,              0.0069218
                     39,                 1.0607,                 1.7594,                 1.4788,                 0.6596,                0.46061,                 0.5263,                0.28076,                 1.1446,                 1.9323,                 1.5522,              0.0069069,              0.0069069,              0.0069069
                     40,                 1.0145,                 1.7308,                 1.4328,                0.54218,                    0.5,                0.50808,                0.27259,                 1.1637,                 2.0826,                 1.5965,              0.0068921,              0.0068921,              0.0068921
                     41,                 1.0277,                 1.7352,                 1.4359,                0.61499,                0.54545,                 0.5889,                0.30899,                 1.1001,                 1.8104,                 1.5345,              0.0068773,              0.0068773,              0.0068773
                     42,                  1.063,                   1.79,                 1.5034,                0.63674,                0.48485,                0.50212,                0.26745,                 1.1697,                 2.2941,                 1.6248,              0.0068625,              0.0068625,              0.0068625
                     43,                 1.0398,                 1.8151,                 1.4875,                0.57691,                0.51212,                0.52461,                0.29287,                 1.1088,                 1.8819,                 1.5277,              0.0068477,              0.0068477,              0.0068477
                     44,                 1.0626,                 1.7442,                 1.4907,                0.64851,                0.55152,                0.61934,                0.32472,                  1.106,                  1.849,                 1.5504,              0.0068329,              0.0068329,              0.0068329
                     45,                 1.0467,                 1.7603,                 1.4675,                 0.6921,                0.52121,                0.61084,                0.33298,                  1.094,                 1.8522,                 1.5293,               0.006818,               0.006818,               0.006818
                     46,                 1.0409,                 1.7221,                 1.4285,                0.53158,                0.48485,                0.50583,                 0.2725,                 1.0968,                 2.1023,                 1.5467,              0.0068032,              0.0068032,              0.0068032
                     47,                  1.003,                 1.7357,                 1.4251,                0.67387,                0.46667,                0.58235,                0.32404,                 1.0986,                 1.8572,                 1.5485,              0.0067884,              0.0067884,              0.0067884
                     48,                 1.0653,                 1.6993,                 1.4599,                0.70657,                0.51078,                0.61613,                  0.329,                  1.068,                 1.8233,                 1.5129,              0.0067736,              0.0067736,              0.0067736
                     49,                 1.0473,                 1.7259,                 1.4551,                0.72068,                0.54729,                0.65616,                0.37232,                 1.0276,                 1.6459,                 1.4714,              0.0067588,              0.0067588,              0.0067588
                     50,                 1.0073,                 1.5993,                 1.3744,                0.55005,                0.52121,                0.54082,                0.30299,                 1.1159,                 1.8398,                 1.5424,               0.006744,               0.006744,               0.006744
                     51,                 1.0256,                 1.6905,                 1.4119,                0.72455,                0.55152,                0.64125,                  0.338,                 1.0849,                 1.6248,                 1.5359,              0.0067291,              0.0067291,              0.0067291
                     52,                0.96908,                 1.7035,                 1.3804,                0.63463,                0.64848,                 0.6762,                0.36743,                 1.0953,                 1.6074,                 1.5149,              0.0067143,              0.0067143,              0.0067143
                     53,                0.99082,                  1.565,                 1.3791,                0.65877,                0.59087,                0.63906,                0.36238,                 1.0733,                 1.6218,                 1.5431,              0.0066995,              0.0066995,              0.0066995
                     54,                0.97551,                 1.5405,                 1.4159,                0.73368,                0.53636,                0.63848,                0.35748,                 1.0823,                 1.7741,                  1.519,              0.0066847,              0.0066847,              0.0066847
                     55,                 1.0008,                 1.5799,                 1.4158,                0.59015,                0.58906,                0.59673,                0.34196,                 1.0452,                 1.7464,                 1.4846,              0.0066699,              0.0066699,              0.0066699
                     56,                0.99898,                 1.6145,                 1.4083,                0.53306,                0.35758,                0.37128,                 0.1826,                 1.3226,                 2.5606,                 1.8744,              0.0066551,              0.0066551,              0.0066551
                     57,                0.97929,                 1.5407,                  1.372,                0.67769,                0.56707,                0.62889,                0.34814,                 1.0484,                 1.9289,                 1.4689,              0.0066402,              0.0066402,              0.0066402
                     58,                 0.9865,                 1.5868,                 1.3796,                0.68715,                0.55758,                0.63051,                 0.3665,                 1.0345,                 1.6121,                 1.4669,              0.0066254,              0.0066254,              0.0066254
                     59,                0.94278,                   1.49,                 1.3516,                0.74218,                    0.6,                0.68738,                0.39203,                 1.0408,                 1.4646,                 1.4598,              0.0066106,              0.0066106,              0.0066106
                     60,                 0.9973,                  1.532,                 1.3744,                0.71416,                0.62121,                0.69388,                0.39541,                 1.0295,                 1.4735,                 1.4638,              0.0065958,              0.0065958,              0.0065958
                     61,                0.97185,                 1.4634,                 1.3675,                0.71302,                0.59697,                0.66699,                0.38869,                 1.0327,                 1.5977,                 1.4464,               0.006581,               0.006581,               0.006581
                     62,                0.95483,                 1.4398,                 1.3214,                0.66672,                0.58801,                0.65855,                0.37313,                 1.0278,                  1.537,                  1.447,              0.0065662,              0.0065662,              0.0065662
                     63,                0.95507,                 1.5044,                 1.3264,                0.69479,                0.55455,                0.64011,                 0.3719,                 1.0364,                 1.5593,                  1.475,              0.0065513,              0.0065513,              0.0065513
                     64,                0.92996,                 1.3836,                 1.3443,                 0.6807,                0.63956,                 0.6785,                0.37608,                 1.1026,                 1.4999,                 1.5618,              0.0065365,              0.0065365,              0.0065365
                     65,                0.95699,                 1.4962,                  1.336,                0.71782,                0.55501,                0.63882,                 0.3555,                 1.0776,                  1.592,                 1.4786,              0.0065217,              0.0065217,              0.0065217
                     66,                0.95566,                 1.4331,                 1.3434,                 0.7253,                0.58485,                0.66938,                0.38668,                 1.0511,                 1.5815,                  1.494,              0.0065069,              0.0065069,              0.0065069
                     67,                0.92224,                 1.3904,                 1.3027,                 0.6493,                 0.5303,                0.61515,                0.34106,                  1.094,                 1.6215,                 1.5351,              0.0064921,              0.0064921,              0.0064921
                     68,                0.94654,                 1.4238,                 1.3677,                 0.6756,                0.50606,                0.56923,                0.31265,                 1.1176,                 1.7851,                 1.5768,              0.0064772,              0.0064772,              0.0064772
                     69,                0.93133,                  1.441,                 1.3221,                0.72188,                0.57417,                0.66725,                0.38824,                 1.0341,                 1.4692,                 1.4714,              0.0064624,              0.0064624,              0.0064624
                     70,                 0.9185,                 1.4267,                 1.2946,                0.73754,                0.57879,                  0.678,                0.38749,                 1.0179,                  1.469,                 1.4333,              0.0064476,              0.0064476,              0.0064476
                     71,                0.87795,                 1.3423,                 1.2781,                 0.6858,                0.62424,                0.68455,                0.39853,                0.99806,                 1.5392,                 1.4039,              0.0064328,              0.0064328,              0.0064328
                     72,                0.99697,                 1.5229,                 1.4308,                0.76126,                0.51818,                0.66704,                0.37479,                 1.0548,                 1.4861,                 1.4919,               0.006418,               0.006418,               0.006418
                     73,                0.90558,                 1.3528,                 1.2868,                0.65946,                0.55152,                0.59654,                0.33951,                 1.0839,                 1.7103,                 1.5562,              0.0064032,              0.0064032,              0.0064032
                     74,                0.92979,                 1.3884,                 1.2765,                0.72382,                0.59565,                0.68296,                0.40403,                 0.9839,                  1.401,                 1.4231,              0.0063883,              0.0063883,              0.0063883
                     75,                0.90621,                 1.3906,                 1.3112,                0.67998,                0.63939,                0.68347,                0.38134,                 1.0452,                 1.4784,                 1.4552,              0.0063735,              0.0063735,              0.0063735
                     76,                0.93329,                 1.3968,                 1.3361,                0.71509,                0.61818,                0.69792,                0.40907,                 1.0034,                 1.4948,                 1.4348,              0.0063587,              0.0063587,              0.0063587
                     77,                0.92743,                 1.3478,                 1.3131,                0.73118,                0.61817,                0.69148,                0.41105,                 1.0082,                 1.3988,                 1.4133,              0.0063439,              0.0063439,              0.0063439
                     78,                0.91404,                 1.3382,                 1.2853,                0.70335,                0.64848,                0.70572,                0.39773,                 1.0579,                 1.3513,                 1.5118,              0.0063291,              0.0063291,              0.0063291
                     79,                0.88997,                   1.27,                 1.2845,                0.75059,                0.55758,                0.66423,                0.37742,                 1.0448,                 1.4761,                 1.4706,              0.0063143,              0.0063143,              0.0063143
                     80,                0.93896,                 1.3358,                 1.3705,                0.61796,                0.66662,                0.66335,                0.38039,                 1.0484,                 1.4918,                 1.4923,              0.0062994,              0.0062994,              0.0062994
                     81,                0.92392,                 1.3734,                 1.3131,                0.60705,                0.61212,                0.60837,                0.31915,                 1.1442,                 1.6446,                 1.5813,              0.0062846,              0.0062846,              0.0062846
                     82,                0.90026,                 1.3478,                 1.2699,                0.71675,                 0.5751,                0.67622,                0.37811,                 1.0421,                  1.462,                 1.4647,              0.0062698,              0.0062698,              0.0062698
                     83,                0.90194,                  1.283,                 1.3109,                0.73131,                0.61032,                0.71158,                0.41659,                0.98264,                 1.3839,                  1.393,               0.006255,               0.006255,               0.006255
                     84,                0.88664,                 1.2448,                 1.2645,                0.70728,                0.57879,                0.62985,                 0.3613,                 1.0534,                 1.4761,                 1.4871,              0.0062402,              0.0062402,              0.0062402
                     85,                0.88994,                 1.3316,                 1.2324,                0.70628,                 0.6303,                 0.7035,                0.39692,                0.98699,                 1.4268,                  1.412,              0.0062254,              0.0062254,              0.0062254
                     86,                0.87522,                 1.2887,                 1.2922,                 0.7181,                0.58788,                0.67972,                0.39028,                 1.0111,                 1.4318,                 1.4402,              0.0062105,              0.0062105,              0.0062105
                     87,                0.85345,                 1.2446,                 1.2418,                0.68351,                0.61518,                0.69456,                0.40401,                 1.0015,                 1.4107,                 1.4039,              0.0061957,              0.0061957,              0.0061957
                     88,                0.90069,                 1.3128,                 1.3142,                   0.69,                0.61378,                0.66642,                0.39211,                  1.019,                 1.5151,                 1.4458,              0.0061809,              0.0061809,              0.0061809
                     89,                0.80525,                  1.491,                 1.1708,                0.65833,                0.70909,                 0.7169,                0.42614,                0.97136,                 1.3618,                 1.3996,              0.0061661,              0.0061661,              0.0061661
                     90,                0.88608,                 1.2992,                 1.2989,                0.78226,                0.60967,                 0.7252,                0.41866,                0.99063,                 1.3478,                 1.4054,              0.0061513,              0.0061513,              0.0061513
                     91,                0.88122,                  1.281,                 1.2796,                0.76699,                0.60303,                0.68871,                 0.3958,                 1.0483,                 1.4723,                 1.4775,              0.0061365,              0.0061365,              0.0061365
