                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5355,                 1.7864,                 1.3647,                0.65022,                0.39394,                0.46152,                0.23278,                 1.6584,                 3.0434,                 1.5159,              0.0088701,              0.0088701,              0.0088701
                     36,                 1.5221,                 1.7889,                 1.3484,                0.56404,                0.47047,                0.48101,                0.22329,                 1.7702,                 4.1537,                 1.5745,              0.0088513,              0.0088513,              0.0088513
                     37,                 1.5308,                 1.7817,                 1.3343,                0.52852,                0.39697,                0.40925,                0.19968,                 1.8385,                  3.524,                 1.6357,              0.0088324,              0.0088324,              0.0088324
                     38,                 1.5329,                 1.7891,                 1.3454,                0.52536,                0.43333,                0.41896,                0.18491,                 1.8747,                 2.8384,                 1.6953,              0.0088136,              0.0088136,              0.0088136
                     39,                 1.5149,                 1.7693,                 1.3368,                 0.6242,                0.45758,                0.50834,                0.27182,                 1.6404,                 2.7729,                 1.5017,              0.0087948,              0.0087948,              0.0087948
                     40,                 1.4774,                 1.7057,                 1.2996,                0.51285,                0.46061,                0.44197,                 0.2099,                 1.8569,                 3.8583,                 1.6689,               0.008776,               0.008776,               0.008776
                     41,                 1.4989,                 1.7011,                 1.3162,                0.42673,                0.43761,                0.37245,                0.18327,                 1.8341,                 2.3455,                  1.613,              0.0087572,              0.0087572,              0.0087572
                     42,                 1.5131,                 1.7213,                 1.3456,                0.55204,                0.45455,                 0.4568,                0.22366,                 1.7578,                 2.5069,                 1.6049,              0.0087383,              0.0087383,              0.0087383
                     43,                 1.4883,                 1.6697,                 1.3167,                0.63196,                0.46364,                0.54501,                0.28971,                 1.5401,                 2.3801,                 1.4142,              0.0087195,              0.0087195,              0.0087195
                     44,                 1.4651,                 1.6629,                 1.3097,                0.55899,                0.48788,                0.50258,                0.26089,                  1.703,                 2.4005,                 1.5947,              0.0087007,              0.0087007,              0.0087007
                     45,                 1.4637,                 1.6874,                 1.2982,                0.59462,                0.45339,                0.47505,                0.24376,                 1.7602,                 2.1834,                 1.5522,              0.0086819,              0.0086819,              0.0086819
                     46,                 1.4583,                  1.626,                 1.2883,                0.62443,                0.51818,                0.56381,                0.30415,                 1.6243,                 2.2342,                 1.4945,              0.0086631,              0.0086631,              0.0086631
                     47,                 1.4494,                 1.6274,                 1.2868,                0.48479,                    0.4,                0.39616,                0.17846,                 1.9034,                 3.2524,                 1.6869,              0.0086442,              0.0086442,              0.0086442
                     48,                  1.446,                 1.6088,                 1.2851,                 0.5184,                0.53333,                0.53993,                0.28802,                 1.5716,                 1.9459,                 1.4424,              0.0086254,              0.0086254,              0.0086254
                     49,                 1.4299,                 1.5874,                 1.2719,                0.53238,                0.47273,                0.46598,                0.23368,                 1.7012,                 2.2439,                 1.5056,              0.0086066,              0.0086066,              0.0086066
                     50,                 1.4094,                 1.5709,                 1.2622,                0.63383,                0.48485,                0.56428,                0.28115,                 1.6028,                  2.642,                 1.4318,              0.0085878,              0.0085878,              0.0085878
                     51,                 1.4221,                 1.5617,                 1.2598,                0.58892,                0.52096,                0.49416,                0.24596,                 1.6845,                 2.3332,                 1.5345,               0.008569,               0.008569,               0.008569
                     52,                 1.4253,                  1.525,                 1.2533,                0.63252,                0.50909,                0.54325,                    0.3,                 1.5639,                 2.0447,                 1.3978,              0.0085501,              0.0085501,              0.0085501
                     53,                 1.4295,                 1.5194,                 1.2615,                0.66819,                0.52121,                0.60382,                0.33444,                 1.5369,                 1.9757,                 1.3945,              0.0085313,              0.0085313,              0.0085313
                     54,                 1.4169,                  1.518,                 1.2517,                0.57723,                0.48822,                0.51684,                0.28383,                 1.5795,                 2.5372,                  1.395,              0.0085125,              0.0085125,              0.0085125
                     55,                 1.4223,                 1.5392,                 1.2628,                0.66602,                0.45455,                0.51128,                0.27207,                 1.6436,                 2.4856,                 1.4844,              0.0084937,              0.0084937,              0.0084937
                     56,                  1.413,                 1.5246,                 1.2618,                0.61121,                0.50974,                0.53235,                0.28674,                 1.6381,                 2.0636,                 1.4627,              0.0084749,              0.0084749,              0.0084749
                     57,                 1.3976,                 1.4894,                  1.257,                0.59661,                0.50909,                0.52306,                 0.2874,                 1.6322,                 1.9823,                 1.4714,               0.008456,               0.008456,               0.008456
                     58,                 1.3988,                 1.4817,                 1.2479,                0.68385,                0.54545,                0.59897,                0.33199,                  1.583,                 1.8679,                 1.4219,              0.0084372,              0.0084372,              0.0084372
                     59,                 1.3742,                 1.4544,                 1.2271,                0.69835,                0.53939,                0.61044,                0.31865,                 1.6007,                 2.1696,                 1.4594,              0.0084184,              0.0084184,              0.0084184
                     60,                 1.4124,                 1.4966,                  1.259,                0.70062,                0.54242,                0.62995,                0.34395,                 1.5592,                 1.7388,                 1.4278,              0.0083996,              0.0083996,              0.0083996
                     61,                 1.3789,                 1.4529,                 1.2411,                 0.6559,                0.58788,                0.60869,                0.33327,                  1.591,                 1.7533,                 1.4778,              0.0083807,              0.0083807,              0.0083807
                     62,                 1.3795,                 1.4534,                 1.2302,                0.65072,                0.58182,                0.63754,                0.34858,                 1.5194,                 1.8974,                 1.3801,              0.0083619,              0.0083619,              0.0083619
                     63,                 1.3551,                 1.4438,                 1.2256,                0.54525,                    0.5,                0.45229,                0.22814,                 1.7356,                 2.6007,                  1.596,              0.0083431,              0.0083431,              0.0083431
                     64,                  1.349,                 1.4084,                 1.2277,                0.61398,                0.49162,                0.52002,                 0.2797,                 1.5787,                 2.7518,                 1.4817,              0.0083243,              0.0083243,              0.0083243
                     65,                 1.3595,                 1.4753,                 1.2173,                0.71392,                0.52727,                0.62647,                0.35636,                 1.4592,                 1.7131,                 1.3456,              0.0083055,              0.0083055,              0.0083055
                     66,                 1.3397,                 1.4338,                 1.2164,                0.69029,                0.55758,                  0.634,                0.34608,                 1.5387,                 2.0343,                 1.4217,              0.0082866,              0.0082866,              0.0082866
                     67,                 1.3473,                  1.418,                 1.2217,                0.66383,                0.55152,                0.60734,                0.31658,                  1.618,                 2.1218,                 1.4506,              0.0082678,              0.0082678,              0.0082678
                     68,                 1.3457,                 1.4418,                 1.2149,                0.67458,                0.49697,                0.55996,                0.29044,                 1.6062,                 2.0516,                 1.4442,               0.008249,               0.008249,               0.008249
                     69,                 1.3523,                 1.4405,                 1.2212,                0.65636,                0.53636,                0.61629,                0.32548,                 1.6541,                 2.1769,                 1.4782,              0.0082302,              0.0082302,              0.0082302
                     70,                 1.3398,                 1.3921,                 1.2126,                0.64983,                 0.5005,                0.54692,                0.29344,                 1.7006,                 2.0698,                 1.5077,              0.0082114,              0.0082114,              0.0082114
                     71,                 1.3229,                 1.3863,                 1.1982,                0.56296,                0.51818,                0.53176,                0.26968,                 1.6697,                 1.9342,                 1.5335,              0.0081925,              0.0081925,              0.0081925
                     72,                 1.3468,                  1.396,                  1.215,                0.55495,                0.40909,                0.43583,                0.23908,                 1.5959,                 2.2857,                 1.4666,              0.0081737,              0.0081737,              0.0081737
                     73,                 1.3202,                 1.3681,                 1.2075,                0.65342,                0.62846,                0.65914,                 0.3633,                 1.5103,                 1.6421,                 1.3879,              0.0081549,              0.0081549,              0.0081549
                     74,                 1.3279,                  1.372,                 1.2122,                0.74705,                0.56061,                0.64592,                0.37402,                 1.5187,                 1.8753,                 1.3944,              0.0081361,              0.0081361,              0.0081361
                     75,                 1.3189,                 1.3577,                  1.203,                0.68914,                  0.524,                0.58582,                0.32058,                 1.5752,                 2.7424,                 1.4332,              0.0081173,              0.0081173,              0.0081173
                     76,                 1.3115,                 1.3504,                  1.203,                0.69424,                0.52727,                0.60626,                0.32423,                 1.6074,                 2.7107,                 1.4595,              0.0080984,              0.0080984,              0.0080984
                     77,                 1.3395,                  1.368,                 1.2141,                0.64719,                0.59394,                0.65101,                0.37426,                 1.5017,                 1.8684,                 1.4054,              0.0080796,              0.0080796,              0.0080796
                     78,                 1.3118,                 1.3284,                 1.2025,                0.61848,                 0.5697,                0.60382,                0.33562,                 1.5482,                 1.9983,                  1.392,              0.0080608,              0.0080608,              0.0080608
                     79,                 1.2961,                 1.3179,                 1.1811,                0.69971,                0.53636,                0.59603,                0.32033,                 1.6116,                 1.8335,                 1.4721,               0.008042,               0.008042,               0.008042
                     80,                 1.3012,                 1.3239,                 1.1708,                0.72689,                0.52727,                0.64666,                0.35934,                 1.5425,                   1.59,                 1.3773,              0.0080232,              0.0080232,              0.0080232
                     81,                  1.275,                 1.2848,                   1.17,                0.68358,                0.62193,                0.68354,                0.37999,                 1.4529,                 1.9737,                 1.3684,              0.0080043,              0.0080043,              0.0080043
                     82,                  1.271,                 1.2966,                 1.1656,                0.74126,                0.59091,                0.67689,                 0.3905,                  1.452,                 1.5814,                 1.3405,              0.0079855,              0.0079855,              0.0079855
                     83,                 1.2731,                  1.265,                 1.1649,                0.68757,                0.60606,                0.65748,                0.36687,                  1.525,                  1.539,                 1.3798,              0.0079667,              0.0079667,              0.0079667
                     84,                 1.2579,                  1.265,                 1.1629,                0.68686,                0.54242,                 0.6026,                0.34418,                 1.4986,                 1.7178,                 1.3732,              0.0079479,              0.0079479,              0.0079479
                     85,                 1.2692,                 1.2841,                  1.162,                0.69887,                0.65152,                0.70051,                0.40263,                 1.4362,                 1.5178,                 1.3201,               0.007929,               0.007929,               0.007929
                     86,                 1.2621,                 1.2724,                 1.1624,                0.67524,                0.61818,                0.66395,                0.39432,                 1.4316,                 1.5869,                 1.3505,              0.0079102,              0.0079102,              0.0079102
                     87,                 1.2401,                 1.2317,                 1.1581,                0.64908,                0.65758,                0.68358,                0.38208,                 1.5359,                 1.4578,                 1.3879,              0.0078914,              0.0078914,              0.0078914
                     88,                 1.2294,                 1.2084,                 1.1413,                0.71542,                0.66364,                0.71185,                0.40151,                  1.435,                 1.4644,                 1.3334,              0.0078726,              0.0078726,              0.0078726
                     89,                  1.246,                 1.2419,                 1.1585,                  0.639,                0.69193,                0.69862,                0.40613,                 1.4723,                 1.9662,                   1.39,              0.0078538,              0.0078538,              0.0078538
                     90,                 1.2551,                  1.263,                 1.1538,                0.72317,                0.67576,                0.71527,                0.40542,                 1.5017,                 1.4638,                 1.3838,              0.0078349,              0.0078349,              0.0078349
                     91,                 1.2606,                 1.2675,                 1.1546,                0.78415,                0.62748,                 0.7307,                 0.4194,                 1.4522,                 1.3763,                 1.3412,              0.0078161,              0.0078161,              0.0078161
                     92,                 1.2675,                 1.2383,                 1.1525,                0.80789,                0.60909,                0.73739,                 0.4322,                 1.4085,                 1.3593,                 1.3055,              0.0077973,              0.0077973,              0.0077973
                     93,                 1.2689,                 1.2248,                 1.1483,                0.66116,                0.67879,                0.68371,                0.39042,                 1.5004,                 1.5074,                  1.366,              0.0077785,              0.0077785,              0.0077785
                     94,                  1.234,                 1.2074,                 1.1266,                0.69632,                 0.6462,                0.69996,                0.40035,                 1.4415,                 1.5839,                 1.3128,              0.0077597,              0.0077597,              0.0077597
                     95,                 1.2324,                 1.2186,                 1.1434,                0.73663,                0.62718,                0.69149,                 0.3929,                 1.4731,                 1.4571,                 1.3443,              0.0077408,              0.0077408,              0.0077408
                     96,                 1.2329,                 1.2198,                 1.1463,                0.78962,                0.67105,                0.74631,                0.42644,                 1.4589,                 1.4355,                 1.3535,               0.007722,               0.007722,               0.007722
                     97,                 1.2423,                 1.2066,                 1.1521,                0.75613,                0.62951,                0.68832,                 0.3947,                 1.4585,                 1.5024,                 1.3405,              0.0077032,              0.0077032,              0.0077032
                     98,                 1.2227,                 1.1924,                 1.1295,                0.76142,                0.62121,                0.69901,                0.41202,                 1.4399,                 1.4631,                 1.3332,              0.0076844,              0.0076844,              0.0076844
                     99,                 1.2093,                 1.1885,                 1.1242,                0.78053,                0.55455,                0.65646,                0.37538,                 1.4295,                 1.5235,                 1.3734,              0.0076656,              0.0076656,              0.0076656
                    100,                 1.2298,                 1.1708,                 1.1288,                0.76228,                0.63162,                0.72043,                0.42118,                  1.424,                 1.5138,                 1.3498,              0.0076467,              0.0076467,              0.0076467
                    101,                 1.2142,                 1.1739,                 1.1162,                0.70824,                0.66061,                0.70969,                0.41101,                  1.438,                 1.4164,                 1.3314,              0.0076279,              0.0076279,              0.0076279
                    102,                 1.1923,                 1.1636,                 1.1128,                0.66863,                0.60533,                0.66971,                0.37832,                 1.4715,                 1.4927,                 1.3413,              0.0076091,              0.0076091,              0.0076091
                    103,                 1.2458,                 1.2175,                 1.1417,                0.73002,                0.59394,                0.66526,                0.39114,                 1.4488,                 1.5085,                 1.3438,              0.0075903,              0.0075903,              0.0075903
                    104,                 1.2216,                 1.1872,                 1.1226,                0.71508,                0.62121,                0.69069,                0.37929,                 1.4801,                 1.4444,                 1.3613,              0.0075715,              0.0075715,              0.0075715
                    105,                 1.2109,                  1.164,                 1.1288,                0.66668,                0.59697,                0.66267,                0.37668,                 1.4972,                 1.5484,                 1.3718,              0.0075526,              0.0075526,              0.0075526
                    106,                 1.1882,                 1.1522,                 1.1113,                0.76636,                0.65152,                0.73201,                0.43129,                 1.4093,                  1.322,                 1.3201,              0.0075338,              0.0075338,              0.0075338
                    107,                 1.1903,                 1.1349,                 1.0982,                0.72471,                0.63939,                0.67301,                0.37553,                 1.5427,                 1.4956,                 1.4158,               0.007515,               0.007515,               0.007515
                    108,                 1.2066,                 1.1908,                   1.13,                0.74438,                0.62121,                0.71623,                0.41514,                 1.4181,                  1.389,                 1.3242,              0.0074962,              0.0074962,              0.0074962
                    109,                 1.2184,                 1.1624,                 1.1303,                0.70004,                0.59091,                0.66737,                0.37258,                 1.5095,                 1.5101,                 1.3785,              0.0074773,              0.0074773,              0.0074773
                    110,                 1.1954,                 1.1474,                 1.1186,                0.74284,                0.63333,                0.69445,                0.39795,                 1.4246,                 1.6735,                 1.3404,              0.0074585,              0.0074585,              0.0074585
                    111,                 1.1656,                  1.095,                 1.1089,                 0.7084,                 0.6331,                0.67144,                0.38757,                 1.5263,                 1.4957,                  1.366,              0.0074397,              0.0074397,              0.0074397
                    112,                 1.1642,                 1.1238,                 1.0961,                0.72847,                0.68485,                0.72802,                 0.4144,                 1.4483,                 1.4099,                 1.3504,              0.0074209,              0.0074209,              0.0074209
                    113,                 1.1731,                 1.1314,                 1.1067,                0.70872,                 0.6562,                0.69494,                0.40229,                 1.4663,                 1.4772,                 1.3995,              0.0074021,              0.0074021,              0.0074021
                    114,                 1.1615,                 1.0855,                 1.0934,                0.77266,                0.66943,                0.75377,                 0.4336,                 1.3993,                 1.3471,                 1.3288,              0.0073832,              0.0073832,              0.0073832
                    115,                 1.1812,                 1.0997,                 1.0968,                0.79174,                0.66364,                0.76251,                0.44793,                 1.4099,                 1.2781,                 1.3104,              0.0073644,              0.0073644,              0.0073644
                    116,                 1.1787,                 1.1041,                 1.0957,                0.73498,                0.61212,                0.69236,                0.40218,                 1.4758,                 1.3993,                 1.3568,              0.0073456,              0.0073456,              0.0073456
                    117,                 1.1799,                 1.1045,                 1.1002,                0.79555,                0.62496,                0.72912,                0.42752,                  1.406,                 1.3071,                 1.2945,              0.0073268,              0.0073268,              0.0073268
                    118,                 1.1571,                 1.0844,                 1.0855,                0.78895,                 0.6697,                0.74417,                0.44097,                 1.3829,                 1.2582,                 1.3032,               0.007308,               0.007308,               0.007308
                    119,                  1.192,                 1.0983,                 1.1016,                0.75233,                0.65355,                0.73689,                 0.4423,                 1.3749,                 1.3142,                 1.2741,              0.0072891,              0.0072891,              0.0072891
