                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.4438,                 1.0618,                  1.182,                0.71105,                0.65455,                0.69401,                0.42757,                 1.9212,                 1.6673,                 1.5319,              0.0043232,              0.0043232,              0.0043232
                    132,                 1.4441,                 1.0613,                 1.1929,                0.71126,                0.65758,                 0.7234,                0.45472,                 1.8815,                 1.5126,                 1.4661,              0.0043117,              0.0043117,              0.0043117
                    133,                 1.4267,                 1.0496,                 1.1711,                0.81347,                0.63636,                0.73564,                0.44925,                 1.8685,                 1.5144,                 1.4517,              0.0043002,              0.0043002,              0.0043002
                    134,                 1.4326,                 1.0415,                 1.1804,                0.71584,                0.68485,                0.72854,                0.44041,                 1.8969,                 1.4606,                 1.4782,              0.0042887,              0.0042887,              0.0042887
                    135,                 1.3897,                 1.0218,                 1.1634,                0.74716,                 0.6537,                0.73358,                0.44146,                 1.8811,                 1.5362,                 1.4498,              0.0042772,              0.0042772,              0.0042772
                    136,                 1.4323,                 1.0426,                 1.1761,                0.78046,                 0.6303,                 0.7051,                0.42548,                 1.9377,                 1.5869,                 1.5018,              0.0042657,              0.0042657,              0.0042657
                    137,                 1.4119,                 1.0188,                 1.1717,                0.76858,                0.66667,                0.73827,                0.45385,                 1.8688,                 1.5028,                 1.4756,              0.0042542,              0.0042542,              0.0042542
                    138,                 1.3849,                0.99748,                 1.1496,                0.81809,                0.67576,                0.75622,                0.46344,                 1.9004,                 1.4846,                 1.4804,              0.0042426,              0.0042426,              0.0042426
                    139,                 1.4076,                 1.0122,                 1.1643,                0.73132,                0.67273,                0.72966,                0.44668,                 1.9279,                 1.5215,                  1.514,              0.0042311,              0.0042311,              0.0042311
                    140,                 1.3854,                 1.0145,                 1.1642,                0.72337,                0.64242,                0.71265,                0.44069,                 1.8779,                 1.5729,                  1.458,              0.0042196,              0.0042196,              0.0042196
                    141,                 1.3781,                0.99803,                 1.1534,                 0.7503,                0.65758,                0.73219,                0.44079,                 1.8998,                  1.596,                 1.4808,              0.0042081,              0.0042081,              0.0042081
                    142,                 1.3688,                0.99543,                  1.152,                0.78851,                0.64398,                0.73941,                 0.4509,                 1.8786,                 1.5391,                 1.4636,              0.0041966,              0.0041966,              0.0041966
                    143,                 1.4061,                 1.0266,                  1.158,                0.75928,                0.67879,                0.73596,                0.45742,                 1.8463,                 1.4569,                 1.4638,              0.0041851,              0.0041851,              0.0041851
                    144,                 1.3876,                 1.0175,                 1.1506,                0.68829,                 0.6892,                0.72512,                0.44927,                 1.8323,                 1.4346,                 1.4404,              0.0041736,              0.0041736,              0.0041736
                    145,                 1.3759,                 1.0105,                 1.1543,                0.79342,                0.67505,                 0.7501,                0.46548,                 1.8479,                 1.3804,                 1.4526,               0.004162,               0.004162,               0.004162
                    146,                 1.3778,                0.99905,                 1.1399,                  0.754,                0.62424,                 0.7154,                0.44464,                 1.9228,                 1.5341,                 1.5189,              0.0041505,              0.0041505,              0.0041505
                    147,                 1.3479,                0.97094,                 1.1441,                0.74331,                0.60303,                0.69533,                0.42554,                  1.963,                 1.6656,                 1.5355,               0.004139,               0.004139,               0.004139
                    148,                 1.3461,                0.95977,                  1.133,                0.70975,                0.72121,                0.75244,                0.47913,                 1.7566,                 1.4724,                 1.3761,              0.0041275,              0.0041275,              0.0041275
                    149,                 1.3432,                0.97216,                 1.1314,                0.76139,                0.67688,                0.74651,                0.46415,                 1.8869,                 1.5185,                 1.4504,               0.004116,               0.004116,               0.004116
