                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1638,                  2.008,                 1.5779,                0.63835,                0.53333,                0.59189,                0.33553,                 2.1505,                 2.4356,                 1.6211,              0.0054285,              0.0054285,              0.0054285
                     36,                 2.1238,                 1.9497,                 1.5369,                0.63697,                0.54848,                0.60932,                0.34143,                 2.1094,                 2.0902,                 1.5787,               0.005417,               0.005417,               0.005417
                     37,                 2.1024,                 1.9244,                 1.5087,                0.68135,                0.51818,                0.57691,                0.33167,                 2.1521,                 2.3199,                 1.6311,              0.0054055,              0.0054055,              0.0054055
                     38,                 2.0734,                 1.9108,                  1.525,                0.67601,                 0.5303,                0.60807,                0.35497,                 2.0917,                  1.929,                   1.59,               0.005394,               0.005394,               0.005394
                     39,                 2.0882,                 1.9169,                 1.5145,                0.61987,                0.55346,                0.60831,                0.34217,                 2.1336,                  2.164,                 1.5899,              0.0053825,              0.0053825,              0.0053825
                     40,                   2.07,                 1.8772,                 1.5176,                0.56279,                0.49149,                0.51174,                0.26478,                 2.3852,                 3.3354,                 1.7177,               0.005371,               0.005371,               0.005371
                     41,                 2.0456,                 1.8894,                  1.487,                0.62185,                0.50303,                0.54121,                0.29274,                 2.1646,                 2.2413,                 1.6117,              0.0053595,              0.0053595,              0.0053595
                     42,                 2.0751,                 1.8599,                 1.5187,                0.69643,                 0.5697,                 0.6554,                0.37969,                 2.0681,                 1.8601,                 1.5662,              0.0053479,              0.0053479,              0.0053479
                     43,                 2.0395,                 1.8541,                 1.4924,                0.61525,                0.54545,                0.60854,                0.34982,                 2.0585,                   2.13,                 1.5822,              0.0053364,              0.0053364,              0.0053364
                     44,                 2.0246,                 1.8198,                 1.4893,                0.69385,                0.57273,                0.64042,                0.37426,                 2.0601,                 1.8722,                 1.5727,              0.0053249,              0.0053249,              0.0053249
                     45,                 2.0038,                 1.7412,                 1.4621,                0.64944,                0.58788,                0.65198,                0.40044,                 1.9746,                 1.9306,                 1.5197,              0.0053134,              0.0053134,              0.0053134
                     46,                 2.0139,                 1.7767,                  1.494,                 0.6864,                0.49091,                0.59101,                0.33683,                 2.0837,                 2.3164,                 1.5959,              0.0053019,              0.0053019,              0.0053019
                     47,                 2.0316,                 1.7875,                 1.4986,                0.71163,                0.63333,                0.68437,                0.37901,                 2.1181,                 1.8314,                 1.5702,              0.0052904,              0.0052904,              0.0052904
                     48,                 1.9867,                 1.7472,                 1.4576,                0.67483,                0.56364,                 0.6261,                0.36767,                 2.0182,                 1.9398,                 1.5111,              0.0052789,              0.0052789,              0.0052789
                     49,                 1.9712,                 1.7426,                 1.4699,                0.77617,                 0.5697,                 0.6726,                0.39058,                 1.9994,                 1.8131,                 1.5284,              0.0052673,              0.0052673,              0.0052673
                     50,                 2.0088,                 1.7494,                 1.4665,                0.57996,                0.53636,                0.58201,                0.32559,                 2.0926,                 2.4298,                 1.5651,              0.0052558,              0.0052558,              0.0052558
                     51,                 1.9516,                 1.6855,                 1.4441,                0.65838,                0.54242,                0.61629,                0.35911,                 2.0499,                 1.9097,                 1.5734,              0.0052443,              0.0052443,              0.0052443
                     52,                  1.952,                 1.7089,                  1.451,                0.75902,                0.56061,                0.69898,                0.38751,                 2.1917,                 1.9053,                 1.6438,              0.0052328,              0.0052328,              0.0052328
                     53,                 1.9237,                 1.6488,                  1.422,                0.75554,                0.57576,                0.67044,                 0.3882,                 2.0314,                 1.7733,                  1.538,              0.0052213,              0.0052213,              0.0052213
                     54,                 1.9582,                 1.6729,                 1.4463,                0.74505,                0.56675,                0.65505,                0.38606,                 2.0496,                 1.9577,                 1.5342,              0.0052098,              0.0052098,              0.0052098
                     55,                  1.911,                 1.6473,                 1.4239,                0.69015,                0.62121,                0.67333,                 0.3811,                  2.066,                 1.9213,                 1.5549,              0.0051983,              0.0051983,              0.0051983
                     56,                 1.9282,                 1.6559,                 1.4276,                0.68675,                0.59394,                0.66083,                0.38167,                 2.0109,                 1.9352,                 1.5133,              0.0051868,              0.0051868,              0.0051868
                     57,                 1.9361,                 1.6533,                 1.4212,                0.71579,                0.62121,                0.68789,                0.39313,                 2.0437,                 1.7723,                 1.5336,              0.0051752,              0.0051752,              0.0051752
                     58,                 1.8974,                 1.6148,                 1.4066,                0.67566,                0.65455,                 0.6851,                0.40941,                 2.0289,                 1.7184,                 1.5263,              0.0051637,              0.0051637,              0.0051637
                     59,                 1.8463,                 1.5862,                  1.392,                0.62854,                0.64242,                 0.6599,                0.38309,                 1.9942,                  1.839,                 1.5171,              0.0051522,              0.0051522,              0.0051522
                     60,                 1.8582,                 1.5695,                 1.3808,                0.71915,                0.63636,                0.71059,                0.41726,                 1.9663,                 1.7034,                 1.4839,              0.0051407,              0.0051407,              0.0051407
                     61,                 1.8829,                 1.5995,                 1.4122,                0.60044,                0.57377,                0.60275,                0.34607,                 2.1252,                 2.2195,                 1.5749,              0.0051292,              0.0051292,              0.0051292
                     62,                 1.8765,                 1.5965,                 1.4162,                0.75774,                0.63333,                0.70543,                0.41493,                 1.9766,                 1.7246,                 1.5067,              0.0051177,              0.0051177,              0.0051177
                     63,                 1.8713,                 1.5598,                 1.3958,                0.64904,                0.64848,                0.68721,                0.39403,                 2.0164,                 1.7259,                  1.521,              0.0051062,              0.0051062,              0.0051062
