                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7946,                 1.6519,                 2.3203,                 0.5349,                0.45455,                 0.4965,                0.27132,                 2.7034,                 1.7446,                 2.3824,              0.0054927,              0.0054927,              0.0054927
                     36,                 2.8026,                 1.6287,                 2.3263,                0.59266,                0.47879,                0.51157,                0.27852,                 2.6863,                 1.9069,                 2.3815,               0.005481,               0.005481,               0.005481
                     37,                 2.7565,                  1.633,                 2.3037,                0.54221,                0.52121,                0.54479,                0.28813,                 2.7738,                 1.5973,                 2.3968,              0.0054693,              0.0054693,              0.0054693
                     38,                 2.7632,                 1.6078,                  2.315,                0.59257,                0.50606,                0.54976,                0.30269,                 2.6392,                 1.6918,                 2.2973,              0.0054576,              0.0054576,              0.0054576
                     39,                 2.7404,                 1.6105,                 2.2846,                0.69592,                0.38144,                0.50507,                0.29466,                 2.6675,                 1.7598,                 2.4003,              0.0054459,              0.0054459,              0.0054459
                     40,                 2.7429,                 1.5915,                 2.2907,                0.59682,                0.52482,                0.56719,                 0.3101,                 2.7427,                  1.636,                 2.4383,              0.0054343,              0.0054343,              0.0054343
                     41,                 2.7138,                 1.5955,                 2.2664,                0.53348,                0.46088,                0.48233,                 0.2464,                 2.8213,                  1.789,                 2.4182,              0.0054226,              0.0054226,              0.0054226
                     42,                 2.7026,                 1.5918,                 2.2615,                0.52995,                0.49091,                  0.491,                0.26599,                 2.7596,                 1.7032,                 2.4091,              0.0054109,              0.0054109,              0.0054109
                     43,                 2.7064,                 1.6004,                 2.2538,                0.51559,                0.55152,                0.55644,                0.30099,                 2.5849,                 1.5844,                 2.3328,              0.0053992,              0.0053992,              0.0053992
                     44,                  2.672,                 1.5258,                 2.2174,                0.56934,                0.47673,                0.50893,                0.27477,                 2.8205,                 1.6378,                 2.4216,              0.0053875,              0.0053875,              0.0053875
                     45,                 2.6829,                 1.5137,                  2.221,                0.62916,                0.46061,                 0.5392,                0.28594,                 2.6256,                 1.6074,                 2.3278,              0.0053758,              0.0053758,              0.0053758
                     46,                 2.6713,                 1.5287,                 2.2355,                0.59751,                 0.5697,                 0.6154,                0.33891,                 2.6356,                 1.4866,                  2.308,              0.0053641,              0.0053641,              0.0053641
                     47,                 2.6854,                   1.52,                 2.2374,                0.68394,                0.50493,                0.60497,                0.33016,                 2.6899,                 1.5527,                 2.3248,              0.0053524,              0.0053524,              0.0053524
                     48,                 2.6105,                  1.468,                 2.1735,                0.63599,                 0.5697,                0.62397,                0.35615,                 2.4785,                  1.411,                 2.1735,              0.0053408,              0.0053408,              0.0053408
                     49,                 2.6115,                 1.4486,                 2.1639,                0.65746,                0.55455,                 0.6162,                0.33966,                  2.557,                 1.4181,                 2.2423,              0.0053291,              0.0053291,              0.0053291
                     50,                 2.6027,                 1.4586,                 2.1634,                0.67889,                0.55455,                0.63382,                0.36981,                 2.4645,                 1.3892,                 2.2035,              0.0053174,              0.0053174,              0.0053174
                     51,                 2.6036,                   1.45,                 2.1641,                0.69278,                0.53636,                0.62125,                 0.3444,                 2.5472,                 1.4868,                 2.2515,              0.0053057,              0.0053057,              0.0053057
                     52,                 2.5547,                 1.4326,                 2.1471,                0.68018,                0.56364,                0.61993,                 0.3517,                 2.5925,                 1.3691,                 2.2917,               0.005294,               0.005294,               0.005294
                     53,                  2.549,                  1.429,                 2.1355,                0.56715,                0.57273,                0.57888,                0.33696,                 2.5495,                 1.5331,                 2.2323,              0.0052823,              0.0052823,              0.0052823
                     54,                 2.5667,                 1.4268,                  2.157,                0.72582,                 0.5455,                0.65268,                  0.362,                 2.5396,                 1.3804,                 2.2164,              0.0052706,              0.0052706,              0.0052706
                     55,                 2.5258,                  1.403,                 2.1079,                0.65951,                0.50478,                0.54706,                0.28853,                 2.7757,                 1.5429,                 2.3841,               0.005259,               0.005259,               0.005259
                     56,                 2.5551,                 1.3929,                 2.1326,                0.66635,                0.55072,                0.63027,                0.37553,                 2.4476,                 1.4263,                 2.1831,              0.0052473,              0.0052473,              0.0052473
                     57,                  2.521,                 1.4118,                 2.1088,                0.66785,                0.53619,                0.60336,                0.35205,                  2.549,                 1.4444,                 2.2281,              0.0052356,              0.0052356,              0.0052356
                     58,                 2.5563,                 1.4168,                  2.141,                0.57497,                0.50909,                0.56535,                0.32381,                 2.5042,                 1.6619,                 2.2389,              0.0052239,              0.0052239,              0.0052239
                     59,                 2.5177,                 1.3706,                 2.1225,                0.68042,                0.54848,                 0.6276,                0.36027,                 2.5343,                  1.415,                 2.2396,              0.0052122,              0.0052122,              0.0052122
                     60,                 2.5456,                 1.4122,                 2.1326,                0.64592,                0.51409,                0.60732,                0.35163,                 2.4905,                 1.3687,                 2.2039,              0.0052005,              0.0052005,              0.0052005
                     61,                 2.4843,                 1.3593,                 2.0827,                0.65208,                0.43939,                0.53998,                0.31333,                 2.5532,                 1.5522,                 2.2212,              0.0051888,              0.0051888,              0.0051888
                     62,                 2.4949,                 1.3763,                 2.0926,                0.67754,                0.60488,                0.66829,                 0.3851,                  2.433,                 1.3783,                  2.155,              0.0051772,              0.0051772,              0.0051772
                     63,                  2.439,                 1.3413,                 2.0596,                0.73947,                0.56364,                0.65462,                0.38367,                 2.4401,                 1.3436,                 2.1332,              0.0051655,              0.0051655,              0.0051655
